Issue id,Duplicate id
13599387,13517685
13599384,13486649
13547359,13547360
13560194,13427513
13560202,13538565
13494151,13520553
13325642,13323121
13441793,13443608
13574949,13575729
13522998,"13556717, 13556717"
13500783,13363065
13551869,13552186
13352724,13346430
13359699,13383461
13491388,13311188
13474953,13594828
13540286,13440806
13440806,"13581710, 13540286"
13555403,13548885
13548885,13555403
13554706,13483682
13517919,13519883
13486649,13507444
13517685,13560206
13486196,13519654
13519654,13486196
13598479,13598480
13594828,13474953
13562714,13565618
13565618,13562714
13557750,13420672
13447158,13561923
13566762,13571270
13592854,13586341
13586341,13592854
13528108,13534793
13584786,13443216
13526397,13530862
13552186,13551869
13553562,13550589
13530862,13526397
13554992,13547008
13549157,13549253
13560089,13559292
13560559,13559365
13443216,13584786
13423759,13481566
13379304,13400827
13311188,13491388
13346966,13579718
13579718,13346966
13577258,13577266
13577266,13577258
13575729,13574949
13483682,13554706
13477046,13481922
13566522,13474272
13571270,13566762
13401921,13403169
13561394,13560186
13474272,13566522
13562334,13559321
13556524,13519790
13437159,13522998
13556717,"13522998, 13522998"
13561923,13447158
13559321,13562334
13559292,13560089
13560037,13560036
13560186,13561394
13559365,13560559
13560036,13560037
13559309,13559316
13543607,13542716
13555636,13556437
13559313,13559308
13559307,13559312
13559310,13559314
13427513,13560194
13538565,13560202
13362722,13351881
13559298,13559299
13559315,13559305
13559297,13559294
13559299,13559298
13559312,13559307
13559311,13559315
13559316,13559309
13559308,13559313
13559294,13559297
13519790,13556524
13559314,13559310
13558085,13558084
13558084,13558085
13420672,13557750
13556437,13555636
13547008,13554992
13517087,13525355
13549038,13551071
13550589,13553562
13530004,13530499
13530499,13530004
13529977,13535770
13400827,"13519653, 13379304"
13551071,13549038
13411366,13424737
13529365,13530489
13415643,13411882
13507491,13528851
13528502,13524256
13535015,13415643
13446349,13445870
13448212,13502519
13502519,13448212
13540519,13540520
13301584,13473761
13442561,13445683
13379350,13439472
13425004,"13425021, 13425021"
13420472,13454649
13362678,13362677
13483271,13481529
13549253,13549157
13547361,13547359
13412544,13279987
13279987,13412544
13542716,13543607
13409180,13408962
13528851,"13543806, 13507491"
13541631,13429188
13429188,13419369
13540520,13540519
13371988,13369922
13417724,13423027
13423027,13417724
13519947,13520930
13363065,13500783
13535770,13529977
13534793,13528108
13304268,13533829
13533829,13304268
13524256,13528502
13530861,13379304
13530489,13529365
13426231,13440231
13440231,13426231
13503078,13326196
13481529,13483271
13462978,13442561
13418034,13401693
13443485,13420472
13425021,"13425004, 13425004"
13326196,13503078
13481566,13423759
13387081,13396968
13525355,13517087
13519883,13517919
13520553,13494151
13426203,13519646
13519646,13426203
13472099,13482611
13424737,13411366
13409181,13406429
13409734,13409140
13424989,13443480
13424501,13411324
13316576,13385017
13472721,13474688
13482611,13472099
13495180,13487155
13385017,13316576
13323121,13325642
13285859,13305336
13305336,13285859
13411324,13424501
13425233,13369802
13445870,13446349
13445160,13425003
13481922,13477046
13473761,13301584
13369802,13425233
13474688,13472721
13409182,13405990
13396349,13443473
13409179,13408974
13406429,13409181
13443480,13424989
13405990,13409182
13426517,13396088
13434516,13434557
13409140,13409734
13425003,13445160
13443473,13396349
13443608,13441793
13434557,13434516
13439472,13379350
13318333,13309944
13408095,13432819
13372158,13408095
13340494,13317502
13337721,13358044
13325949,13325970
13301578,13301362
13319209,13319210
13401693,13418034
13320828,13342319
13423214,13424735
13408974,13409179
13424735,13423214
13318258,13291509
13356117,13357630
13408962,13409180
13392751,13398749
13403547,13380206
13380206,13403547
13403169,13401921
13400202,13399871
13399871,13400202
13398749,13392751
13341720,13304383
13396968,13387081
13325503,13327624
13383461,13359699
13369922,13371988
13367318,13356003
13351881,"13339179, 13362722"
13376084,13372113
13372113,13376084
13295063,13312393
13291509,13318258
13374158,13374159
13301757,13372986
13372986,13301757
13351503,13352724
13356003,13367318
13362685,13362689
13362689,13362685
13363125,13363121
13363124,13363125
13362680,13362678
13362436,13362435
13362435,13362436
13346169,13346186
13357630,13356117
13358044,13337721
13340432,13341325
13301362,13301578
13329045,13323952
13356943,13351421
13351421,13356943
13346186,13346169
13317107,13306716
13330385,13330636
13309944,13318333
13308692,13308668
13312393,13295063
13330636,13330385
13317502,13340494
13325970,13325949
13345383,13345358
13345358,13345383
13290860,13290857
13301899,13302642
13279942,13277984
13296505,13295854
13303191,13294487
13295854,13296505
13342319,13334346
13330582,13312466
13338465,13338464
13338464,13338465
13327624,13325503
13323952,13329045
13277984,13279942
13319210,13319209
13306716,13317107
13308668,13308692
13294487,13303191
13296658,13293617
13290857,13290860
13302642,13301899
13293617,13296658
13277853,13277852
13277852,13277853
13598480,13598479
13487155,13495180
13520930,13519947
13312466,13330582
13396088,13426517
13341325,13340432
13304383,13341720
13374159,13374158
