Issue id,Duplicate id
1606532,1598175
1606814,1605940
1607086,1607780
1607160,1608072
1607185,1610812
1607196,1598598
1607236,1596826
1607296,1583441
1607475,1605161
1607554,1599138
1607616,1377100
1607617,1607557
1607630,1636347
1607644,1603485
1607780,1607086
1607807,1605619
1607868,1446276
1607879,1599138
1607927,1606108
1607943,1607557
1607944,1607557
1608005,1596826
1608036,"1607698, 1608435, 1608473, 1608672"
1608070,1601905
1608072,1607160
1608230,353933
1608246,1618430
1608303,1596587
1608435,1608036
1608465,1603956
1608473,1608036
1608517,1599138
1608524,1579451
1608564,1073680
1608606,1627159
1608622,1586255
1608637,1601905
1608672,1608036
1608687,1830996
1608691,1579451
1608696,1716109
1608697,"1611285, 1611472, 1614543"
1608710,1215415
1608713,1610834
1608726,1605975
1608811,1601905
1608854,1597029
1608859,1592234
1608888,1601905
1608950,1415016
1608973,1608981
1609010,1775769
1609060,1581383
1609166,1609766
1609238,1390089
1609398,1480072
1609466,1611709
1609492,1605369
1609578,1695757
1609635,"1612753, 1612925, 1613785"
1609657,861157
1609725,"1609329, 1609333"
1609766,1609166
1609777,1605881
1609808,1564290
1609904,1597029
1610019,583299
1610031,1605983
1610081,1584771
1610122,1773342
1610123,1528063
1610130,1080682
1610146,1597181
1610183,1610182
1610295,313272
1610318,1494353
1610323,1603494
1610364,1597181
1610443,1598464
1610492,1610485
1610688,1545046
1610690,1596389
1610764,727420
1610812,1607185
1610865,1566499
1610908,1596826
1610932,1615566
1611064,1539395
1611066,215554
1611069,1609908
1611077,1610790
1611116,1541780
1611276,615761
1611285,1608697
1611409,1606839
1611438,1775765
1611507,1613069
1611517,616849
1611559,1602715
1611592,1562490
1611598,1635825
1611600,"1643925, 1684223, 1916084"
1611685,587400
1611702,1429357
1611709,1609466
1611784,1593983
1611796,1603956
1611867,1596981
1611911,1551040
1611920,1597181
1612030,1604780
1612218,1600210
1612254,1638739
1612468,1592780
1612624,1401484
1612648,1595788
1612653,1619356
1612691,1602728
1612753,1609635
1612838,1495363
1612925,1609635
1613024,1471546
1613076,1399883
1613264,1613788
1613308,1617124
1613337,"1618232, 1618233"
1613339,555694
1613345,1612723
1613477,1617891
1613630,854315
1613788,1613264
1613835,860357
1613894,"1614077, 1614119, 1614231, 1615400, 1615406, 1615441, 1615874, 1616036, 1616064, 1616076, 1616699, 1617126, 1617483"
1614077,1613894
1614078,1614095
1614095,1614078
1614119,1613894
1614120,1529689
1614149,1219775
1614231,1613894
1614349,1572344
1614387,218257
1614482,1549687
1614543,1608697
1614685,1591040
1614757,1592416
1614787,1643651
1614833,1437524
1614984,1566499
1615027,1614885
1615149,1627008
1615302,"1622448, 1623531"
1615308,1616446
1615390,1432725
1615400,1613894
1615406,1613894
1615441,1613894
1615536,1592562
1615554,1605881
1615566,1610932
1615612,"1642194, 1696330"
1615632,1566499
1615635,1603803
1615827,1219775
1615874,1613894
1615901,"1528647, 1624151"
1615931,1555173
1616007,1552600
1616036,1613894
1616058,1616059
1616064,1613894
1616076,1613894
1616110,1601841
1616122,587400
1616205,394423
1616220,"1616231, 1617671"
1616231,1616220
1616291,1655525
1616303,1615854
1616324,1367002
1616446,1615308
1616517,1671101
1616531,1634898
1616699,1613894
1616772,1569106
1616793,1616726
1616824,"1689824, 1775610"
1616946,1607201
1617045,1620224
1617124,1613308
1617126,1613894
1617275,1617381
1617381,1617275
1617411,1005216
1617439,1616880
1617458,"1669901, 1747899"
1617483,1613894
1617489,1586409
1617560,1605975
1617891,1613477
1617920,545546
1617922,1606512
1618087,1607607
1618092,1605881
1618094,"1678676, 1679159, 1686970, 1740963, 1741889"
1618153,1627676
1618226,1535757
1618232,1613337
1618233,1613337
1618239,1578736
1618339,1607713
1618381,1616880
1618430,1608246
1618469,1396498
1618848,1775792
1618902,1606916
1618936,1618308
1619036,1653776
1619238,1775778
1619356,1612653
1619464,1634906
1619567,1602220
1619570,1605881
1619591,1624615
1619639,1506335
1619742,1603956
1619810,1565574
1620224,1617045
1620536,1624400
1620567,1567022
1620738,1592739
1620740,1572344
1620755,1650301
1620927,1605478
1621134,1596358
1621199,1269505
1621231,"1643583, 1645320"
1621301,1622566
1621424,1664155
1621570,"1621600, 1629415, 1629434, 1629509, 1631224, 1631575, 1633201, 1633649, 1635578, 1636377, 1641529, 1643973, 1644078, 1650666, 1653381, 1653688, 1655491, 1656198, 1674103, 1685429, 1703504, 1707321, 1720268, 1720419, 1721566, 1725602, 1741758, 1742781, 1848444, 1918677"
1621600,"1621570, 1628367"
1621623,1628405
1621634,1631229
1621744,1509213
1621864,1515073
1621876,1619367
1622321,1589602
1622365,1622367
1622367,1622365
1622542,"1622526, 1623279"
1622566,1621301
1622583,1818862
1622674,1539701
1622697,1607713
1622730,1060752
1622847,1610110
1622957,1509748
1622962,1618758
1623059,1620018
1623109,1625114
1623199,1621736
1623229,1624267
1623255,1528305
1623279,1622542
1623466,1860831
1623531,1615302
1623555,453455
1623599,1625747
1623648,1507582
1623678,1575347
1623746,1569001
1623880,1594034
1623888,1629438
1623927,1625773
1623938,"1626370, 1721032"
1623939,1605983
1623975,1569001
1623997,1569001
1624044,1624530
1624076,1775750
1624107,1658064
1624151,1615901
1624166,1607713
1624222,1412656
1624314,1607713
1624382,887515
1624400,1620536
1624457,"1663281, 1738478"
1624530,1624044
1624539,1624538
1624581,1624580
1624615,1619591
1624635,1607713
1624707,1374217
1624746,1607713
1624876,1624983
1624878,1650525
1624983,"1623972, 1624876, 1625570, 1625586, 1627029"
1625087,1500464
1625114,1623109
1625148,1607713
1625163,1585978
1625193,1625195
1625195,1625193
1625238,1531004
1625415,1625426
1625426,1625415
1625453,1607713
1625477,1607713
1625491,1625475
1625570,1624983
1625680,1614774
1625686,1629703
1625704,1607713
1625723,1333781
1625747,1623599
1625773,1623927
1625785,1627654
1625790,1607713
1625862,1424587
1625883,769476
1626042,1604680
1626070,1623400
1626225,1626673
1626369,1618769
1626649,583299
1626741,"1235429, 1242765, 1655593"
1626985,1376269
1627003,"1689865, 1740886"
1627008,1615149
1627087,1622490
1627159,1608606
1627218,1563141
1627332,1563758
1627403,1600153
1627420,1627801
1627436,167320
1627465,1603956
1627492,1627522
1627517,1575863
1627698,1104141
1627776,1377100
1627833,1775760
1627849,1405845
1627852,1558478
1627861,"1628022, 1628035, 1628054, 1628092"
1627908,1018973
1627990,1464700
1628011,1627638
1628013,1618769
1628022,1627861
1628025,"1642177, 1642183, 1652302"
1628035,1627861
1628051,1337397
1628059,1559894
1628069,1566084
1628081,333714
1628092,1627861
1628122,1677939
1628171,1397755
1628214,1627858
1628243,"1628383, 1628576, 1628986, 1629249, 1629287, 1688524"
1628247,1628218
1628251,1585912
1628273,1628153
1628355,333714
1628367,1621600
1628376,421466
1628383,1628243
1628396,1884970
1628404,1566084
1628405,"1593284, 1621623, 1650561"
1628435,1631325
1628451,1383402
1628514,1628732
1628535,"1628721, 1629210, 1637087"
1628576,1628243
1628721,1628535
1628731,"1628857, 1628945, 1629259, 1629362, 1629379, 1629498, 1629580, 1629762, 1629772, 1629871, 1629964"
1628732,"1628501, 1628514"
1628857,1628731
1628945,1628731
1628948,1636692
1628964,1628966
1628966,1628964
1628969,1775751
1628986,1628243
1629049,336193
1629072,1597791
1629210,1628535
1629233,1398567
1629241,1567780
1629249,1628243
1629259,1628731
1629287,1628243
1629362,1628731
1629371,1526983
1629376,"1629560, 1629906"
1629379,1628731
1629412,781982
1629418,1632744
1629434,1621570
1629480,1628098
1629498,1628731
1629509,1621570
1629559,1472409
1629560,1629376
1629608,1067293
1629684,1598175
1629703,1625686
1629749,1405382
1629762,1628731
1629906,1629376
1629919,1629924
1629924,1629919
1629947,1632114
1629964,1628731
1630167,"1450371, 1611878"
1630199,734643
1630327,"1642639, 1642645"
1630402,1627858
1630515,333714
1630543,1546540
1630732,1615760
1630751,1628741
1630858,1858950
1630993,1631161
1631058,1180329
1631140,1616462
1631155,1180329
1631161,1630993
1631185,1585912
1631221,1638735
1631226,1555609
1631229,1621634
1631239,1787592
1631284,1219775
1631289,1632541
1631325,1628435
