Summary,Issue id,Status,Priority,Resolution,Created,Resolved,Affects Version/s,Description
JAR in conflict with timestamp check causes AM errors,13404344,Resolved,Blocker,Duplicate,30/Sep/21 17:20,20/Jul/22 20:51,2.9.2,"After an init action pulls down a new JAR and the check of a JAR's timestamp is performed  [1]we can sometimes cause an incorrect error if the timestamp does not match. In order to address this you can perform workarounds like:

record old timestamp at the beginning before the connector is changed
local -r old_file_time=$(date -r ${dataproc_common_lib_dir}/gcs-connector.jar ""+%m%d%H%M.00"")

# at end of script.
touch -t ""${old_file_time}"" <any jar they changed>
touch -h -t ""${old_file_time}"" <symlinks they changed>


We should instead of checking the date be comparing version compatibility tests.

 

 

1. https://github.com/apache/hadoop/blob/release-2.7.3-RC2/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/util/FSDownload.java#L255-L258"
Fix Hadoop build on Debian 10,13400058,Resolved,Blocker,Fixed,08/Sep/21 17:46,18/Sep/21 18:52,3.4.0,"We're using *Debian testing* as one of the package sources to get the latest packages. It seems to be broken at the moment. The CI fails to create the build environment for the Debian 10 platform -

{code}
[2021-09-08T00:21:11.596Z] #13 [ 8/14] RUN apt-get -q update     && apt-get -q install -y --no-install-recommends python3     && apt-get -q install -y --no-install-recommends $(pkg-resolver/resolve.py debian:10)     && apt-get clean     && rm -rf /var/lib/apt/lists/*
...
[2021-09-08T00:21:22.744Z] #13 11.28 Preparing to unpack .../libc6_2.31-17_amd64.deb ...

[2021-09-08T00:21:23.260Z] #13 11.46 Checking for services that may need to be restarted...

[2021-09-08T00:21:23.260Z] #13 11.48 Checking init scripts...

[2021-09-08T00:21:23.260Z] #13 11.50 Unpacking libc6:amd64 (2.31-17) over (2.28-10) ...

[2021-09-08T00:21:26.290Z] #13 14.38 Setting up libc6:amd64 (2.31-17) ...

[2021-09-08T00:21:26.290Z] #13 14.42 /usr/bin/perl: error while loading shared libraries: libcrypt.so.1: cannot open shared object file: No such file or directory

[2021-09-08T00:21:26.290Z] #13 14.42 dpkg: error processing package libc6:amd64 (--configure):

[2021-09-08T00:21:26.290Z] #13 14.42  installed libc6:amd64 package post-installation script subprocess returned error exit status 127

[2021-09-08T00:21:26.291Z] #13 14.43 Errors were encountered while processing:

[2021-09-08T00:21:26.291Z] #13 14.43  libc6:amd64

[2021-09-08T00:21:26.291Z] #13 14.46 E: Sub-process /usr/bin/dpkg returned an error code (1)

[2021-09-08T00:21:27.867Z] #13 ERROR: executor failed running [/bin/bash -o pipefail -c apt-get -q update     && apt-get -q install -y --no-install-recommends python3     && apt-get -q install -y --no-install-recommends $(pkg-resolver/resolve.py debian:10)     && apt-get clean     && rm -rf /var/lib/apt/lists/*]: exit code: 100

[2021-09-08T00:21:27.867Z] ------

[2021-09-08T00:21:27.867Z]  > [ 8/14] RUN apt-get -q update     && apt-get -q install -y --no-install-recommends python3     && apt-get -q install -y --no-install-recommends $(pkg-resolver/resolve.py debian:10)     && apt-get clean     && rm -rf /var/lib/apt/lists/*:

[2021-09-08T00:21:27.867Z] ------

[2021-09-08T00:21:27.867Z] executor failed running [/bin/bash -o pipefail -c apt-get -q update     && apt-get -q install -y --no-install-recommends python3     && apt-get -q install -y --no-install-recommends $(pkg-resolver/resolve.py debian:10)     && apt-get clean     && rm -rf /var/lib/apt/lists/*]: exit code: 100

[2021-09-08T00:21:27.867Z] ERROR: Docker failed to build yetus/hadoop:ef5dbc7283a.

[2021-09-08T00:21:27.867Z] 
{code}

The above log lines are copied from - https://ci-hadoop.apache.org/blue/organizations/jenkins/hadoop-multibranch/detail/PR-3388/3/pipeline"
Filter deps with release labels,13401369,Resolved,Blocker,Fixed,15/Sep/21 11:42,16/Sep/21 16:19,3.4.0,We need to add the ability to filter the dependencies listed in packages.json file based on the specified release label. This is helpful for maintaining dependencies across different releases for a platform.
ABFS AbfsDelegationTokenManager to generate canonicalServiceName if DT plugin doesn't,13401382,Open,Critical,,15/Sep/21 12:43,,3.3.1,"Currently in {{AbfsDelegationTokenManager}}, any {{CustomDelegationTokenManager}} only provides a canonical service name if it
implements {{BoundDTExtension}} and its {{getCanonicalServiceName()}} method.

If this doesn't hold, {{AbfsDelegationTokenManager}} returns null, which causes {{AzureBlobFileSystem.getCanonicalServiceName()}}
to call {{super.getCanonicalServiceName()}} *which resolves the IP address of the abfs endpoint, and then the FQDN of that IPAddr

If a storage account is served over >1 endpoint, then the DT will only have a valid service name for one of the possible
endpoints, so _only work if all process get the same IP address when the look up the storage account address_

Fix

# DT plugins SHOULD generate the canonical service name
#  If they don't, and DTs are enabled: {{AbfsDelegationTokenManager}} to create a default one
# and {{AzureBlobFileSystem.getCanonicalServiceName()}} MUST NOT call superclass.


The default canonical service name of a store will be {{abfs:// + FsURI.getHost() + ""/""}}, so all containers in same storage account has the same service name

{code}
abfs://bucket@stevel-testing.dfs.core.windows.net/path
{code}

maps to 
{code}
abfs://stevel-testing.dfs.core.windows.net/ 
{code}

This will mean that only one DT will be created per storage a/c; Applications will not need to list all containers which deployed processes will wish to interact with. Today's behaviour, based on rDNS lookup of storage account, is possibly slightly broader in that all storage accounts which map to the same IPAddr share a DT. The proposed scheme will still be much broader than that of S3A, where every bucket has its unique service name, so apps need to list all target filesystems at launch time (easy for MR, source of trouble in spark).

Fix: straightforward. 

Test
* no DTs: service name == null
* DTs: will match proposed pattern, even if extension returns null."
BuiltInGzipCompressor header and trailer should not be static variables,13397934,Resolved,Critical,Fixed,28/Aug/21 06:00,09/Sep/21 04:25,3.4.0,"In the newly added BuiltInGzipCompressor, we should not let header and trailer as static variables as they are for different instances."
Performance degradation in Text.append() after HADOOP-16951,13399976,Resolved,Critical,Fixed,08/Sep/21 11:49,10/Sep/21 23:03,3.4.0,"We discovered a serious performance degradation in {{Text.append()}}.

The problem is that the logic which intends to increase the size of the backing array does not work as intended.
It's very difficult to spot, so I added extra logs to see what happens.

Let's add 4096 bytes of textual data in a loop:
{noformat}
  public static void main(String[] args) {
    Text text = new Text();
    String toAppend = RandomStringUtils.randomAscii(4096);

    for(int i = 0; i < 100; i++) {
      text.append(toAppend.getBytes(), 0, 4096);
    }
  }
{noformat}

With some debug printouts, we can observe:
{noformat}
2021-09-08 13:35:29,528 INFO  [main] io.Text (Text.java:append(251)) - length: 24576,  len: 4096, utf8ArraySize: 4096, bytes.length: 30720
2021-09-08 13:35:29,528 INFO  [main] io.Text (Text.java:append(253)) - length + (length >> 1): 36864
2021-09-08 13:35:29,528 INFO  [main] io.Text (Text.java:append(254)) - length + len: 28672
2021-09-08 13:35:29,528 INFO  [main] io.Text (Text.java:ensureCapacity(287)) - >>> enhancing capacity from 30720 to 36864
2021-09-08 13:35:29,528 INFO  [main] io.Text (Text.java:append(251)) - length: 28672,  len: 4096, utf8ArraySize: 4096, bytes.length: 36864
2021-09-08 13:35:29,528 INFO  [main] io.Text (Text.java:append(253)) - length + (length >> 1): 43008
2021-09-08 13:35:29,529 INFO  [main] io.Text (Text.java:append(254)) - length + len: 32768
2021-09-08 13:35:29,529 INFO  [main] io.Text (Text.java:ensureCapacity(287)) - >>> enhancing capacity from 36864 to 43008
2021-09-08 13:35:29,529 INFO  [main] io.Text (Text.java:append(251)) - length: 32768,  len: 4096, utf8ArraySize: 4096, bytes.length: 43008
2021-09-08 13:35:29,529 INFO  [main] io.Text (Text.java:append(253)) - length + (length >> 1): 49152
2021-09-08 13:35:29,529 INFO  [main] io.Text (Text.java:append(254)) - length + len: 36864
2021-09-08 13:35:29,529 INFO  [main] io.Text (Text.java:ensureCapacity(287)) - >>> enhancing capacity from 43008 to 49152
...
{noformat}

After a certain number of {{append()}} calls, subsequent capacity increments are small.

It's because the difference between two {{length + (length >> 1)}} values is always 6144 bytes. Because the size of the backing array is trailing behind the calculated value, the increment will also be 6144 bytes. This means that new arrays are constantly created.

Suggested solution: don't calculate the capacity in advance based on length. Instead, pass the required minimum to {{ensureCapacity()}}. Then the increment should depend on the actual size of the byte array if the desired capacity is larger."
Run optional CI for changes in C,13392051,Resolved,Critical,Fixed,27/Jul/21 07:38,05/Aug/21 12:19,3.4.0,We need to ensure that we run the CI for all the platforms when there are changes in C files.
Run CI for Centos 7,13391728,Resolved,Critical,Fixed,25/Jul/21 12:00,29/Jul/21 17:51,3.4.0,Need to run the CI for Centos 7 platform since it's a supported platform. The CI will run on this platform only when there's C++ file/C++ build/platform related changes.
Use separate source dir for platform builds,13389964,Resolved,Critical,Fixed,16/Jul/21 06:08,26/Jul/21 20:10,3.4.0,"The multi-platform build stages run on the checkout of the source directory, one after the other. For those platforms that are marked as optional (Centos 8 and Debian 10 currently), the condition to run CI on the platform is determined by inspecting the git commit history and checking if there's any C++ file/C++ build/platform related changes.

It seems like after YETUS runs on one platform, it's clearing up the git branch information. This is causing the build to not get triggered on the optional platforms. Please note that those platforms not marked optional (Ubuntu focal) isn't affected by this since CI runs for this platform irrespective of any C++ changes.

We can see this in the Jenkins UI page -

CI runs for Centos 8 -
 !image-2021-07-16-11-36-26-698.png! 

Subsequently, the CI for Debian 10 gets skipped -
 !image-2021-07-16-11-36-55-495.png! 

However, CI for Ubuntu focal runs since it's not marked as optional -
 !image-2021-07-16-11-37-56-923.png! 

Thus, we need to ensure that each platform builds on its own copy of the source code checkout so that whatever changes one platform makes doesn't affect the other."
ShellBasedUnixGroupsMapping: group name containing space can be used to inject group memberships,13402174,Open,Critical,,20/Sep/21 12:57,,3.3.1,"Group names available from identity management systems, for example sssd, may contain space characters when used with for example Active Directory. such a group name can be used to inject group memberships granting permission to basically any targeted group.

 

Suppose following scenario:

a) centralized identity management system is used, where organization's responsible roles are defined to allow access to their named groups.

b) group ""hdfs"" grants hdfs-admin permissions and is managed by authorized personnel only.

c) attacker orders creation of a group named as ""uploaderformy hdfs"" and the attacker's user account ""attacker1"" as member of that group.

 

This will lead to the scenario where ShellBasedUnixGroupsMapping executes group lookup and returns groups uploaderformy and hdfs for the ""attacker1"" username as TOKEN_SEPARATOR_REGEX contains space character in addition others (""[ \t\n\r\f]"").

This bug was found during our own solution based on the ShellBasedUnixGroupsMapping for [https://github.com/teragrep/]

 

Other versions may be affected as well.

 "
