Issue id,Duplicate id
13343407,13343143
13362832,13561742
13338807,13571563
13528847,13529273
13380435,13380436
13523954,13522311
13592448,13571542
13290844,"13286898, 13290843"
13529464,13558181
13561742,13362832
13493451,13493686
13312685,13312683
13341867,13341791
13298861,13333250
13555560,13554141
13335754,13469093
13336690,13320258
13369341,13380399
13293015,13291664
13483892,13503684
13522311,13523954
13596253,13598011
13301873,13299426
13523883,13413992
13575709,13568947
13476491,13435686
13280130,13350902
13598011,13596253
13558181,13529464
13592925,13594638
13469701,13469509
13415090,13304322
13565122,13565123
13361437,13345403
13359258,13324229
13554141,"13555560, 13523503"
13380436,13380435
13345403,13361437
13571563,13338807
13383390,13393625
13389891,13578807
13290843,13290844
13300407,13301011
13320897,13338114
13419663,13541180
13278441,13281448
13368079,13368078
13324229,13359258
13312683,13312685
13304768,13303531
13291665,13291666
13363126,13353559
13298235,13287724
13281448,13278441
13469093,13335754
13367394,13350980
13429616,13380042
13296897,13304868
13341791,13341867
13287724,13298235
13291664,13293015
13344315,13344658
13350980,13367394
13350902,13280130
13342375,13320811
13515190,13383390
13337479,13352901
13413992,13523883
13320811,13342375
13353559,13363126
13343143,13343407
13380042,13362288
13565123,13565124
13574948,13438183
13503684,13483892
13316116,13315716
13570296,13523503
13291666,13291665
13438183,13574948
13362507,13324135
13333250,13298861
13523503,13570296
13541180,13419663
13304322,13415090
13315716,13316116
