Issue id,Duplicate id
1606512,"1617668, 1617922"
1606540,"1648947, 1672504"
1606549,"1596989, 1611341, 1620454, 1673126"
1606558,1453207
1606560,1784753
1606563,1609091
1606564,1595530
1606585,1554965
1606597,1392460
1606618,1601082
1606627,1631735
1606640,1640962
1606647,1607221
1606707,1639933
1606751,1606848
1606754,1333140
1606771,1609784
1606773,46845
1606775,1576858
1606803,1686141
1606848,"1606751, 1606866"
1606853,1602764
1606863,1601707
1606865,"1607226, 1610054"
1606866,1606848
1606944,1417615
1606977,1607278
1607005,1030481
1607007,1581126
1607033,1607088
1607038,1894588
1607076,1588148
1607088,"1607033, 1607524"
1607115,1149826
1607125,1602764
1607126,"1602764, 1607127"
1607127,1607126
1607138,1281292
1607149,1346835
1607212,1615121
1607221,1606647
1607226,"1606865, 1607227"
1607227,1607226
1607235,1601871
1607238,"1633789, 1654112"
1607258,1556556
1607308,1608503
1607311,1597254
1607313,1506746
1607317,1633493
1607328,1596826
1607347,"1607365, 1607390, 1607469"
1607348,"1607368, 1607611"
1607365,1607347
1607368,1607348
1607380,1612683
1607386,1596286
1607390,1607347
1607399,1530052
1607400,1609026
1607404,1588200
1607424,"1600414, 1607543"
1607432,1607575
1607450,1568652
1607454,1775788
1607468,1607758
1607469,1607347
1607495,1605633
1607524,1607088
1607543,1607424
1607553,"1562706, 1608775"
1607556,1563916
1607611,1607348
1607620,1607916
1607629,1597254
1607642,1595530
1607650,1609400
1607653,1784684
1607712,1656266
1607720,1611831
1607726,1607985
1607745,"1612377, 1622988"
1607759,1606108
1607852,1944580
1607867,1622348
1607899,1608485
1607902,1611122
1607916,1607620
1607918,1608498
1607929,1734359
1607964,"1607966, 1607969"
1607966,1607964
1607969,1607964
1607985,"1607726, 1608004, 1608450, 1608574, 1608634, 1610090, 1620419"
1607993,1522333
1608004,1607985
1608016,1609134
1608018,1608053
1608029,1605559
1608053,1608018
1608068,"1615655, 1617368"
1608090,1601871
1608118,1609480
1608139,437554
1608309,1390089
1608311,1609765
1608323,1359440
1608324,1604003
1608358,"711276, 1588377, 1651369"
1608375,1557113
1608391,"1605305, 1726027"
1608404,1609026
1608450,1607985
1608462,1637878
1608463,1604989
1608466,1557739
1608485,1607899
1608498,1607918
1608503,1607308
1608507,1581273
1608548,1371386
1608574,1607985
1608580,1573032
1608617,1625882
1608634,1607985
1608716,1588152
1608719,1604943
1608721,1604029
1608722,1531819
1608723,1604117
1608727,1675554
1608746,1574017
1608775,1607553
1608786,1616398
1608806,1536148
1608851,1611922
1608871,1608912
1608879,1465979
1608891,"1252111, 1418109, 1613351"
1608912,1608871
1608913,1601905
1608919,1522333
1608920,1522333
1608931,1618324
1608980,"1609023, 1609027, 1609252, 1609762, 1609834, 1610703"
1608994,1611194
1608995,1633110
1608998,1598598
1609013,1317378
1609023,1608980
1609026,"1607400, 1608404, 1611938"
1609027,1608980
1609033,1333781
1609074,"1607713, 1610155, 1611382"
1609101,1612006
1609104,1609957
1609110,1609453
1609112,1597721
1609113,1609118
1609118,1609113
1609122,1544705
1609129,1588316
1609191,1708392
1609203,1610836
1609252,1608980
1609305,1603956
1609308,1698330
1609354,1627322
1609375,1602764
1609390,1581273
1609400,1607650
1609401,1439800
1609403,"1623963, 1634309, 1642695, 1712519"
1609453,1609110
1609461,307330
1609471,1423746
1609480,1608118
1609495,1481876
1609515,1602526
1609538,"1620211, 1620216, 1627441"
1609582,1430182
1609587,1781538
1609617,1596826
1609651,1602764
1609665,1621746
1609676,1316534
1609732,1611974
1609762,1608980
1609765,1608311
1609784,1606771
1609834,1608980
1609837,"1604891, 1604892, 1604902, 1604904"
1609867,"1481398, 1628176"
1609888,1603956
1609897,1601905
1609908,"1610780, 1611069"
1609918,1605018
1609927,1574291
1609936,1407276
1609951,1578458
1609954,1633836
1609957,1609104
1609973,"1611087, 1611931"
1610006,"1610363, 1614040, 1619717, 1724109, 1735191"
1610054,"1606865, 1612599"
1610083,1305387
1610090,1607985
1610093,1725204
1610110,1622847
1610155,1609074
1610166,1532722
1610170,1785356
1610171,1620787
1610186,1575130
1610187,1592416
1610193,1613478
1610202,1615098
1610209,1597857
1610214,1526731
1610222,571913
1610228,1612705
1610230,1618854
1610304,1585626
1610306,"1611092, 1612684, 1627150"
1610319,1498512
1610341,1036966
1610363,1610006
1610411,1614101
1610428,1610431
1610431,1610428
1610441,935056
1610450,1613157
1610477,"1674218, 1752862"
1610485,"1610482, 1610492, 1611157"
1610499,1611601
1610579,"1531900, 1550497"
1610585,1564700
1610597,"1611705, 1612306"
1610647,1611786
1610649,1614161
1610652,"1743204, 1746538"
1610703,1608980
1610726,1678389
1610730,1610821
1610737,1602526
1610745,1744288
1610762,"1755832, 1840385"
1610780,1609908
1610782,1575914
1610784,1592416
1610790,"1611077, 1612972"
1610821,"977034, 1365398, 1610730"
1610834,1608713
1610836,"1609203, 1610892, 1610928, 1612027"
1610859,1604800
1610880,"1610884, 1610924"
1610884,1610880
1610892,1610836
1610895,1535662
1610898,1610919
1610904,1689392
1610919,1610898
1610924,1610880
1610928,1610836
1610934,1585955
1610981,1168977
1610991,1610987
1611042,1593863
1611045,1635286
1611063,1733052
1611073,1611804
1611087,1609973
1611092,1610306
1611106,1616500
1611122,1607902
1611146,1458045
1611147,1592416
1611157,1610485
1611166,1611170
1611170,1611166
1611194,1608994
1611243,1592416
1611341,1606549
1611363,1522333
1611364,1522333
1611366,1616760
1611370,1777003
1611377,1600414
1611381,"1682310, 1685658, 1856610, 1867023"
1611389,"1611391, 1611394, 1759648"
1611391,1611389
1611394,1611389
1611407,1726516
1611414,1576262
1611423,1605657
1611462,1261484
1611472,1608697
1611522,1588152
1611561,1611771
1611577,1785117
1611578,1719535
1611588,"1605530, 1612573"
1611594,1548753
1611601,"1603195, 1610499"
1611602,1612767
1611622,1623212
1611628,1613130
1611648,1612512
1611650,1592416
1611655,"1562890, 1612952, 1613767, 1613768, 1615435, 1617266, 1617267, 1619183, 1619814, 1650866"
1611660,1604504
1611669,1863703
1611692,1613805
1611698,1592416
1611710,1617426
1611735,1603374
1611737,"1602764, 1611738, 1611788"
1611738,1611737
1611744,1449867
1611748,1652042
1611756,1713484
1611764,1612431
1611771,1611561
1611774,1628583
1611786,1610647
1611788,1611737
1611795,1599606
1611800,1617162
1611804,1611073
1611808,1453207
1611854,1583467
1611865,963354
1611890,1226498
1611898,1622254
1611922,1608851
1611923,"1710117, 1757320, 1787697, 1855595"
1611926,1666784
1611931,1609973
1611938,"1609026, 1612593, 1613223, 1613737, 1613816, 1617367, 1625275, 1626157, 1630110"
1611974,1609732
1612006,1609101
1612011,1522333
1612016,1602764
1612027,1610836
1612044,1594216
1612117,"1612131, 1612432, 1613970"
1612130,1612774
1612199,1541471
1612236,1603964
1612301,1612503
1612365,1616445
1612377,"1507989, 1607745, 1614167, 1618594"
1612388,1581121
1612408,1594375
1612431,1611764
1612454,"1590711, 1627821, 1632355"
1612459,1522333
1612462,1603748
1612467,221154
1612481,1776985
1612503,1612301
1612573,1611588
1612587,"1298341, 1613415"
1612593,1611938
1612599,1610054
1612604,1523853
1612618,"1612644, 1624084, 1631242, 1632756, 1634035"
1612631,1418419
1612638,1612863
1612662,1612677
1612671,1512990
1612673,1622184
1612674,1422684
1612677,1612662
1612683,1607380
1612684,1610306
1612689,1622527
1612694,1611855
1612705,1610228
1612710,1592188
1612726,1602929
1612732,1600414
1612748,1602764
1612767,1611602
1612774,1612130
1612777,1602764
1612806,1747959
1612857,1800242
1612863,1612638
1612891,1617901
1612894,1613323
1612901,1596826
1612923,1374612
1612928,1618675
1612952,1611655
1612963,1665826
1612972,1610790
1613008,649948
1613042,1610229
1613055,764076
1613057,1615720
1613078,650091
1613086,"1613910, 1623075, 1663662"
1613109,1472062
1613115,1563758
1613128,1668034
1613130,1611628
1613157,1610450
1613163,362880
1613186,"1613187, 1759261"
1613187,1613186
1613201,1552405
1613223,1611938
1613228,1602764
1613240,1613987
1613280,"1497766, 1502390, 1543682"
1613323,1612894
1613343,1776985
1613351,1608891
1613353,385615
1613365,1492315
1613415,1612587
1613420,1631735
1613472,1567791
1613478,1610193
1613506,1573973
1613625,1581121
1613658,1408122
1613664,1614421
1613673,660148
1613676,1608347
1613737,1611938
1613763,1030660
1613767,1611655
1613768,1611655
1613797,"1495632, 1633334"
1613798,"1333464, 1628264, 1638753, 1704154"
1613805,1611692
1613816,1611938
1613820,1573495
1613889,1646715
1613899,1598796
1613910,1613086
1613915,1558179
1613943,1614766
1613945,1611080
1613946,1110922
1613970,1612117
1613987,1613240
1614040,1610006
1614050,1430141
1614062,1623974
1614101,1610411
1614138,1615403
1614161,1610649
1614167,1612377
1614169,"1615317, 1615739, 1712908"
1614176,1614177
1614177,1614176
1614218,"1587707, 1592580, 1600498, 1600582, 1644622, 1646572, 1650650, 1653149, 1666950, 1669584, 1679457, 1681713, 1682138, 1691567, 1702386, 1706327, 1707237, 1723539, 1741347, 1768781"
1614224,1614939
1614259,"1614341, 1618104"
1614296,1624256
1614305,1279293
1614325,1551615
1614341,1614259
1614347,1504210
1614350,1580565
1614355,1614803
1614358,1168182
1614359,1567323
1614360,1499412
1614381,1677881
1614421,1613664
1614426,1440376
1614436,1664624
1614460,1526207
1614488,1614247
1614535,"1614705, 1615093, 1615499, 1616213, 1619156"
1614553,1614247
1614573,1614574
1614574,1614573
1614580,1458481
1614595,1614205
1614645,1602764
1614658,1698638
1614682,1598201
1614697,1588827
1614705,1614535
1614741,"1517947, 1600153, 1678976"
1614766,1613943
1614774,"1365713, 1625680"
1614788,1615156
1614803,"1614355, 1616382"
1614885,"1603335, 1615027, 1615127, 1615320, 1615821"
1614921,1618428
1614962,"1619945, 1620061, 1620129, 1621125, 1621711, 1622882, 1623204, 1623206"
1614967,"1616261, 1620915"
