Issue id,Duplicates
 47816,['113635']
100335,"['138833', '149170', '107606', '209505', '108772']"
100338,"['110111', '110212']"
100427,['130535']
100517,['122805']
100590,['112629']
100840,"['111782', '127696', '110676']"
100940,"['107293', '107387', '106797']"
100940 ,['106588']
100953,['110545']
101014,['111136']
101069,"['107085', '107355']"
101136,"['108599', '114057', '107400', '110082']"
101183,['158814']
10121,"['117764', '134426', '133355', '182436', '157097', '125592', '114813', '198194', '116204', '121081', '199583']"
10121 ,"['166297', '166677']"
101639,['107204']
101718,['135373']
101822,['127452']
101865,"['111608', '135929', '127408']"
101920,['116025']
102139,['112494']
102574,"['152846', '153209']"
103344,['107726']
103451,['137372']
103477,['106895']
103828,['107731']
104319,['150510']
104395,['111317']
104428,['187408']
104554,['147374']
104595,['113669']
104664,['108297']
104672,['146152']
104673,['106604']
10471,['109130']
105030,['109989']
"105047
",['108554']
105110,"['111978', '135485', '117130', '138208', '139858']"
105191,"['106789', '112051']"
105202,['106563']
105270,"['143657', '203478']"
105299,['160543']
105342,"['109430', '108655']"
105446,"['110903', '120192', '113391', '115674', '111448', '111509', '109323', '114525']"
10546,"['117752', '113924', '113565']"
105536,['106667']
105558,"['175236', '170433']"
105657,['109263']
106001,"['113407', '109606']"
"106001

",['111780']
106232,"['164220', '158849']"
106351,"['113537', '108390']"
106406,['107473']
106429,"['119998', '109684', '107224']"
106434,['106843']
106484,['106508']
106499 ,['106504']
106504,['106499']
106508,"['106484', '691202']"
106528,"['110544', '110584', '110607']"
106537,"['106938', '05321', '499616', '651384', '34300', '267742', '010716', '169584', '935227', '28799', '505675', '108758']"
106547,['106554']
106552,['84432']
106554,['106547']
106556,['94971']
106563,['105202']
106569,['107723']
106573,['106639']
106583,['106793']
106586,"['106534', '106547']"
106588,['100940']
106589,"['104754', '103238']"
106598,['106584']
106604,['104673']
106615,"['106458', '106455']"
106622,['104462']
106625,['104637']
106626,"['106534', '106586', '106547']"
106639,['106573']
106646,"['106626', '106586', '106547']"
106653,['40511']
106655,['83025']
106667,['105536']
106680,['73111']
106687,['109696']
106714,"['106613', '106602', '106509', '106630', '106532']"
106716,"['104524', '106624', '106666', '106619', '104463']"
106718,['106876']
106724,['76548']
106727,"['107129', '108174', '107607', '106884']"
106730,['106711']
106735,['105214']
106743,"['191952', '111444', '108331']"
106783,['30847']
106789,['105191']
