labels,created_at,body,number,state_reason,title,state,translation,src_lang,gpt_translation,gpt_src_lang,deepL_translation,deepL_src_lang,aws_translation,aws_src_lang
info-needed:invalid:*english-please:triage-needed:translation-required-vietnamese,2024-06-26T07:35:16Z,,218250,not_planned,Báo cáo lỗi,closed,,vi,Error report.,vi,Báo cáo lỗi,ES,Bug Report ,vi
info-needed:*english-please:translation-required-portuguese-brazil:triage-needed,2024-06-21T11:30:50Z,"Type: <b>Bug</b>

Não consigo editar nadano meu Macbook M1, para editar tenho que copiar e colar, pelo teclado não consigo

",216803,not_planned,Digitação Não funciona,closed,"Type: <b>Bug</b> I can&#39;t edit anything on my Macbook M1, to edit I have to copy and paste, I can&#39;t do it using the keyboard

",pt,"Typing does not work. Type: <b>Bug</b>I can't edit anything on my MacBook M1, to edit I have to copy and paste using the keyboard, I can't.",pt,Typing doesn't work Type: <b>Bug</b> I can't edit anything on my Macbook M1 to edit I have to copy and paste from the keyboard I can't do it,PT,Typing Doesn't work Type: <b>Bug</b> I can't edit anything on my Macbook M1 to edit I have to copy and paste on the keyboard I can't,pt
info-needed:*english-please:translation-required-japanese,2024-06-15T08:13:30Z,"
Type: <b>Bug</b>

html css に書き込む際に　半角のｊが反応しない。
HTMLとCSSで jと打ち込むと言語認識されてしまうか
「（ｊ）が渡されました、2番目のキーを待っています」となるか、
CSSで　justify と打ち込みたいが、juが打てず、「キーの組み合わせ、（J , U）はコマンドではありません」と出力される。
この原因がわからず開発練習ができない。




",215607,completed,半角のJが打てない,closed,"
Type: <b>Bug</b> When writing in html css, the half-width j does not respond. When I type j in HTML and CSS, the language is recognized or it says &quot;(j) was passed, waiting for the second key&quot;, or when I want to type justify in CSS, I cannot type ju and it says &quot;The key combination (J, U) is not a command&quot;. I don&#39;t know the cause of this and I can&#39;t practice development.




",ja,"Cannot type a half-width J. Type: <b>Bug</b>When writing in HTML or CSS, the half-width j does not respond. If you try to type the letter j in HTML or CSS, it is either recognized as a command or results in a message saying '(j) has been entered, waiting for the second key', or when trying to type justify in CSS, you cannot type 'ju' and it outputs 'The key combination (J U) is not a command'. This issue is hard to understand and is hindering development practice.",ja,"Can't type one-byte J Type: <b>Bug</b> When writing to html css, the one-byte j doesn't respond; if I type j in HTML and CSS, it either gets language recognition or says ""(j) passed, waiting for second key"" or I want to type justify in CSS, but ju I want to type justify in CSS, but ju is not recognized and the output is ""key combination, (j u) is not a command"". I can't figure out the cause of this and can't practice development.",JA,"<b>The half-width J cannot be typed Type: Bug The half-width j does not respond when writing to html css.</b> If you type j in HTML and CSS, the language is recognized, or “(j) has been passed, I'm waiting for the second key,” or I want to type in justify in CSS, but ju cannot be hit, and “the key combination, (J U) is not a command” is output. I can't practice development because I don't understand the cause of this.",ja
info-needed:*english-please:translation-required-portuguese-brazil,2024-06-10T18:18:44Z,"
Type: <b>Bug</b>

Toda vez que inicio um novo projeto em flutter preciso reinstalar o git novamente para que os comando do flutter possam reconhecer a presença do git (Error: Unable to find git in your PATH. ) porém o git é sempre instalado no mesmo lugar e recebe a mesma patch.

",214808,not_planned,Conflito entre flutter e git,closed,"
Type: <b>Bug</b> Every time I start a new project in flutter I need to reinstall git again so that the flutter commands can recognize the presence of git (Error: Unable to find git in your PATH.) However, git is always installed in the same place and receives the same patch.

",pt,"Conflict between flutter and git. Type: <b>Bug</b> Every time I start a new project in flutter, I need to reinstall git again so that flutter commands can recognize the presence of git (Error: Unable to find git in your PATH.) However, git is always installed in the same place and receives the same path.",pt,Conflict between flutter and git Type: <b>Bug</b>Every time I start a new project in flutter I need to reinstall git again so that the flutter commands can recognize the presence of git (Error: Unable to find git in your PATH. ) but git is always installed in the same place and receives the same patch.,PT,Conflict between flutter and git Type: <b>Bug</b> Every time I start a new flutter project I need to reinstall git again so that the flutter commands can recognize the presence of git (Error: Unable to find git in your PATH.) but git is always installed in the same place and receives the same patch.,pt
info-needed:*english-please:translation-required-french,2024-06-04T19:31:36Z,"
Type: <b>Bug</b>

Il s'emblerais qu'il y est des erreurs lors du démarrage du service ""Fonctionnalités de langage TypeScript et JavaScript"". IL charge à l'infinit et me met l'erreur suivante:
""Le service de langage JS/TS s'est arrêté 5 fois immédiatement.
Le service ne sera pas redémarré.""

Que pui-je faire ?

",214270,not_planned,Fonctionnalités de langage TypeScript et JavaScript,closed,"
Type: <b>Bug</b> It seems that there are errors when starting the &quot;TypeScript and JavaScript Language Features&quot; service. It loads infinitely and gives me the following error: &quot;The JS/TS language service stopped 5 times immediately. The service will not be restarted.&quot; What can I do?

",fr,TypeScript and JavaScript Language Features. Type: Bug It seems that there are errors when starting the 'TypeScript and JavaScript Language Features' service. It loads indefinitely and gives me the following error: 'The JS/TS language service has stopped 5 times immediately. The service will not be restarted.' What can I do?,fr,"TypeScript and JavaScript language features Type: <b>Bug</b>It turns out that there are errors when starting the ""TypeScript and JavaScript language features"" service. It loads endlessly and gives me the following error: ""The JS/TS language service stopped 5 times immediately. The service will not be restarted. ""What can I do?",FR,TypeScript and JavaScript Language Features Type: <b>Bug</b> It seems that there are errors when starting the “TypeScript and JavaScript Language Features” service. It loads endlessly and gives me the following error: “The JS/TS language service stopped 5 times immediately. The service will not be restarted.” What can I do?,fr
info-needed:*english-please:translation-required-chinese-simplified,2024-05-29T14:34:55Z,"
Type: <b>Bug</b>

所有扩展都关了都不行，就能挺5分钟，如果是vue项目打开main.js甚至一秒钟都挺不住

",213823,not_planned,JavaScript语言服务器天天崩溃,closed,"
Type: <b>Bug.</b> It doesn&#39;t work even if all extensions are turned off. It can only last for 5 minutes. If it is a Vue project and main.js is opened, it can&#39;t even last for a second.

",zh-CN,"The JavaScript language server crashes every day. Type: <b>Bug</b> Even with all extensions turned off, it only lasts for 5 minutes. If it's a Vue project, opening main.js doesn't even last a second.",zh,"JavaScript language server crashes every day Type: <b>Bug</b> All extensions are turned off, but not, it can last 5 minutes, if the vue project to open the main.js can not even last a second!",ZH,"The JavaScript language server crashes every day Type: <b>Bug</b> If all extensions are turned off, it can take 5 minutes. If the Vue project opens main.js, it won't last even a second",zh
info-needed:*english-please:translation-required-russian:triage-needed,2024-05-29T02:53:16Z,"Type: <b>Performance Issue</b>

при запуске редактора, часто не срабатывают комментарии (ctrl + /), пока сам не нажму 2 раза ""//"". и только потом комбинация 'ctrl' + '/' начинает функционировать.

",213762,not_planned,комментарии Visual Studio Code,closed,"Type: <b>Performance Issue</b> When starting the editor, comments (ctrl + /) often do not work until I press &quot;//&quot; twice myself. Only then does the combination &#39;ctrl&#39; + &#39;/&#39; start to function.

",ru,"comments in Visual Studio Code. Type: Performance Issue when starting the editor, comments (ctrl + /) often do not work until I manually press '//' twice. Only then does the 'ctrl' + '/' combination start functioning.",ru,Visual Studio Code Type: <b>Performance Issue</b> comments (ctrl + /) often do not work when starting the editor until I press '//' 2 times myself. and only then the combination 'ctrl' + '/' starts working.,RU,"Visual Studio Code Type: <b>Performance Issue</b> comments often do not work when the editor starts, comments (ctrl +/) until I press “//” 2 times myself, and only then does the 'ctrl' + '/' combination start to function.",ru
info-needed:*english-please:translation-required-korean,2024-05-26T14:13:48Z,"
Type: <b>Bug</b>

JS/TS 언어 서비스가 즉시 5번 충돌했습니다. 서비스가 다시 시작되지 않습니다.

이러한 에러가 발생합니다.

",213505,completed,JS/TS 언어 서비스가 즉시 5번 충돌했습니다. 서비스가 다시 시작되지 않습니다.,closed,"
Type: <b>Bug</b> JS/TS language service crashed 5 times immediately. The service will not restart. This error occurs.

",ko,The JS/TS language service crashed immediately 5 times. The service will not restart. Type: <b>Bug</b> The JS/TS language service crashed immediately 5 times. The service will not restart. This error occurs.,ko,JS/TS Language Service crashed 5 times immediately. The service will not restart Type: <b>Bug</b>JS/TS Language Service crashed 5 times immediately. The service will not restart.I get these errors.,KO,The JS/TS language service immediately crashed 5 times. The service does not restart. Type: <b>Bug</b> The JS/TS language service immediately crashed 5 times. The service cannot be restarted.This error occurs.,ko
info-needed:*english-please:translation-required-persian,2024-05-25T16:54:26Z,"![20240525_042627](https://user-images.githubusercontent.com/92463480/333819334-f002b8c5-b409-4ede-a170-110607629ccc.jpg)
 فکر نمی کنم اگر وجود نداشته باشد، ما می خواهیم پروفایل را اداره کنیم؟ آیا این کار در عوض این است؟  

پیشنهاد
اگر [ -z "" $VSCODE_SHELL_LOGIN""   ¤ 
اگر [ -f ~/.bashrc ~/ .
. ~/.bbrc
فی  
دیگر
```

_ابتدا توسط @Tyriar در https://github.com/microsoft/vscode/pull/170870#discussion_r1064752174_  
 
```[tasklist]
### Tasks
```
",213475,not_planned,فکر نمی کنم اگر وجود نداشته باشد، ما می خواهیم پروفایل را اداره کنیم؟ آیا این کار در عوض این است؟,closed,"![20240525_042627](https://user-images.githubusercontent.com/92463480/333819334-f002b8c5-b409-4ede-a170-110607629ccc.jpg) I don&#39;t think we want to manage the profile if it doesn&#39;t exist? Is this work instead? suggest if [ -z &quot; $VSCODE_SHELL_LOGIN&quot; ¤ if [ -f ~/.bashrc ~/ . . ~/.bbrc fi else ``` _Originally by @Tyriar at https://github.com/microsoft/vscode/pull/170870#discussion_r1064752174_ ```[tasklist] ### Tasks ```
",fa,"I don't think if it doesn't exist, we want to manage the profile? Is it instead of this? I don't think if it doesn't exist, we want to manage the profile? Is it instead of this? Suggest if [ -z ""$VSCODE_SHELL_LOGIN"" or if [ -f ~/.bashrc ~/ .. ~/.bbrc. Discussion initially by @Tyriar at https://github.com/microsoft/vscode/pull/170870#discussion_r1064752174. [tasklist]### Tasks.",fa,"Don't think that if it doesn't exist, we won't be able to manage it? Isn't that a good thing?![20240525_042627](https://user-images.githubusercontent.com/92463480/333819334-f002b8c5-b409-4ede-a170-110607629ccc.jpg) I don't think that if it doesn't exist, we can't manage the Profiles? Is that a good thing instead? PassionDagger [ -z ""$VSCODE_SHELL_LOGIN""   ¤ If [ -f ~/.bashrc ~/ ... ~/.bbrcfiDegr```_Started by @Tyriar at https://github.com/microsoft/vscode/pull/170870#discussion_r1064752174_ ```[tasklist]### Tasks```",AR,"I don't think if there isn't, we want to handle profiling? Is this the job instead?! [20240525_042627] (https://user-images.githubusercontent.com/92463480/333819334-f002b8c5-b409-4ede-a170-110607629ccc.jpg) I don't think we want to handle the profile if it doesn't exist? is this instead? proposer [-z ""$VSCODE_SHELL_LOGIN” ¤ If [-f ~/.bashrc ~/.. ~/.bbrcfi else```_first by @Tyriar at https://github.com/microsoft/vscode/pull/170870#discussion_r1064752174_ ```[tasklist] ###```",fa
info-needed:*english-please:translation-required-japanese:triage-needed,2024-05-24T16:13:29Z,,213400,not_planned,新しいIssue,closed,,ja,New Issue.,ja,New Issue,JA,New issues ,ja
