Issue id,Duplicate id
1610468,1611120
1611120,1610468
1613033,1454023
1614221,1378089
1616551,"1284028, 1648584, 1692784, 1720773, 1771529"
1617467,1692686
1619123,"1619142, 1630921, 1630923"
1619142,1619123
1619149,1620759
1620759,1619149
1621445,"696757, 1167921, 1233744, 1306969"
1622830,1624522
1623054,"1665434, 1675398"
1623213,1438083
1623874,1625490
1623908,394322
1624522,1622830
1625367,1618866
1625490,"1355469, 1623874"
1630921,1619123
1630923,1619123
1633139,1651473
1634924,1346622
1634930,1269477
1634973,1653575
1639890,"1639927, 1639929"
1641343,521861
1643106,956854
1648584,1616551
1650379,1555116
1653575,1634973
1657012,1652314
1658398,1214005
1665434,1623054
1675398,1623054
1677273,1677316
1677316,"1677273, 1677410"
1677410,1677316
1680088,1682424
1684186,664309
1684566,433532
1684692,934455
1691208,1697409
1692347,1634879
1692686,1617467
1692784,1616551
1694601,1689877
1697313,1694760
1697409,1691208
1699634,1699322
1700061,"1700380, 1706184"
1700380,1700061
1702903,1704151
1704151,1702903
1706184,1700061
1707677,1703359
1709834,718276
1709837,1070492
1716740,1124600
1718671,1685606
1718839,"1719564, 1719819, 1719980, 1721366"
1719564,1718839
1719819,1718839
1719980,1718839
1720130,1719216
1720773,1616551
1720878,1738597
1721366,1718839
1722293,1735808
1726612,1737436
1733051,"1744134, 1749140"
1735808,1722293
1738597,1720878
1741642,1737436
1741711,1737436
1742077,1305624
1742207,1742898
1742302,1737436
1742898,1742207
1744134,1733051
1745494,1737436
1746791,1737436
1749140,1733051
1771529,1616551
1780833,"1862395, 1909056"
1781736,1070492
1794340,1795830
1795589,921874
1795830,1794340
1797696,1798019
1798019,1797696
1805074,"1812237, 1813992"
1812237,1805074
1813988,1814339
1813992,1805074
1826667,1827472
1827472,1826667
1840074,1837262
1842997,1837262
1843128,1837262
1847887,"1849855, 1851286"
1849855,1847887
1851286,1847887
1859238,1859455
1859455,1859238
1860308,129574
1860935,1865460
1862395,1780833
1865460,1860935
1874270,"1874266, 1875713"
1875713,1874270
1893973,1893974
1896958,1901096
1901096,1896958
1909056,1780833
1924612,"1927700, 1930839, 1935343"
1927700,1924612
1930839,1924612
1935343,1924612
