Summary,Issue id,Status,Priority,Resolution,Created,Resolved,Description
Port |Bug 752376 - Avoid calling scrollbox.ensureElementIsVisible() if the tab strip doesn't overflow to prevent layout flushes| to SeaMonkey,1606681,RESOLVED,--,FIXED,2020-01-02 17:14:21+00:00,2020-11-01 20:04:54+00:00,"Port the following bug:
* Bug 752376 - Avoid calling scrollbox.ensureElementIsVisible() if the tab strip doesn't overflow to prevent layout flushes"
SeaMonkey (Mac) update version 2.49.5 made it impossible to edit old webpages!,1606979,UNCONFIRMED,--,,2020-01-04 02:32:49+00:00,2020-01-05 06:00:56+00:00,"User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15

Steps to reproduce:

I was editing old webpages, just changing the wording in some text.. 


Actual results:

My page backgrounds disappeared and the placement of graphics was way off. I wasted 2 hours, doing everything carefully and testing my results step by step, but it was impossible to get things right. 

I had to go back to SeaMonkey version 2.49.4 in order to keep my page backgrounds and the placement of graphics. I wasted 2 hours today with version x.5 until I finally restored version x.4, and then everything went smoothly. 


Expected results:

I should have been able to edit the text and then upload the edited webpages to my website. But even pages that looked almost OK in SeaMonkey did not look OK in Safari and Chrome. Once I restored the older x.4 version, everything worked as it always has. I love SeaMonkey because of how simple it usually is!

(But I wish I could open composer and drag files into it instead of having to browse for them.)"
"Release Notes: Drop ""Features"" link to Wiki",1607002,NEW,P5,,2020-01-04 12:52:00+00:00,2020-03-08 07:36:18+00:00,"AFAIK there has never been useful contents on the SeaMonkey [Features Pages](https://wiki.mozilla.org/SeaMonkey/Features/)  for ages:

At least those for | [2.49.4](https://wiki.mozilla.org/SeaMonkey/Features/2.49.4) | [2.49.3](https://wiki.mozilla.org/SeaMonkey/Features/2.49.3) | [2.49.2](https://wiki.mozilla.org/SeaMonkey/Features/2.49.2) | [2.49.1](https://wiki.mozilla.org/SeaMonkey/Features/2.49.1) | [2.48](https://wiki.mozilla.org/SeaMonkey/Features/2.48)  | [2.46](https://wiki.mozilla.org/SeaMonkey/Features/2.46) |  [2.48](https://wiki.mozilla.org/SeaMonkey/Features/2.48) | [2.40](https://wiki.mozilla.org/SeaMonkey/Features/2.40) | [2.33.1](https://wiki.mozilla.org/SeaMonkey/Features/2.33.1)  |are empty or only contain a lonely hypelink.

For [2.39](https://wiki.mozilla.org/SeaMonkey/Features/2.39) | [2.35](https://wiki.mozilla.org/SeaMonkey/Features/2.35) | there was some minimum contents.

If we don't have contents for the WIKI that item below ""Other Resources and Links"" should be dropped."
Port |Bug 822068 - The content loses focus after calling gBrowser.moveTabBackward/moveTabForward| to SeaMonkey,1607025,RESOLVED,--,FIXED,2020-01-04 17:10:43+00:00,2020-11-01 20:06:26+00:00,"Port the following to SeaMonkey:
* Bug 822068 - The content loses focus after calling gBrowser.moveTabBackward/moveTabForward"
rss folder management buggy,1607173,UNCONFIRMED,--,,2020-01-06 12:04:04+00:00,2020-01-09 07:21:32+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.94 Safari/537.36

Steps to reproduce:

I subscribed to RSS feeds and managed them in folders.


Actual results:

The folder management is very confusing. Sometimes one feed gets splitted into a folder and messages part which will not end up in the same folder.
Sometimes the feed is recieved in the main folder while displayed in the subfolder. You also will need a restart in order to get things displayed properly in the feed subscriptions.

I attached an example (where feed names where shortened due to privacy reasons). You see that the matrixorg feed appears twice in the subscription list alhough it was subscribed once. You also don't see it twice in the main window, but you might have odd results like recieving new messages in the wrong folder.

This might be related to a 15 year old bug, which I also experienced:
https://bugzilla.mozilla.org/show_bug.cgi?id=296264


Expected results:

There sould just be one object that can be moved easily between the folders."
Attachments won't upload after latest update,1607598,RESOLVED,--,INCOMPLETE,2020-01-07 22:16:19+00:00,2020-01-08 06:58:36+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:52.0) Gecko/20100101 Firefox/52.0 SeaMonkey/2.49.5

Steps to reproduce:

In trying to upload an attachment in my mail carrier (Zimbra) the attachment will not send.  Get ""Client error has occurred""


Actual results:

Attachment didn't send


Expected results:

Before the latest update, everything worked fine.  Email and attachments sent."
Install upgrade attempt result in endless reboot requirement and no functioning browser,1609590,UNCONFIRMED,--,,2020-01-16 03:06:08+00:00,2020-01-16 03:08:29+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0

Steps to reproduce:

Ran seamonkey-2.57a1pre.en-US.win64.installer.exe for build 20200114043003.
Forgot to close all running Seamonkey windows first.


Actual results:

The installer required a system reboot to complete the install.
I rebooted the computer.
On reboot, the Seamonkey icon had a different graphic and, on clicking on it, a messagebox popped up saying I needed to reboot to complete the installation.
The same messagebox popped up on my running the installer program, above, again.
Rebooted the system again.
Same situation.
Rebooted the system again.
Same situation.
Deleted all files and directories from C:\Users\...\AppData\Local\Seamonkey, where the Seamonkey application is.
Ran the installer again.
The installer went farther this time and didn't request a reboot, but said, ""You don't have sufficient disk space to install to this location.""  (There is 245GB of free space.)
Looked in AppData\Local again;  the Seamonkey directory, which I hadn't deleted, was now gone.
Ran the installer again.
Seamonkey installed correctly and works fine.

If it is true that the installer required a reboot because the program was running, that's insane.
If it is true that the installer required a reboot because the program was running, why didn't it give the user a chance to fix the situation before requiring a reboot?
If it is true that the installer required a reboot because the program was running, why would it continue to require a reboot when the program wasn't running, no matter whether or not the reboot finished whatever was to be finished?

The disk space issue seems to be the same as:
https://bugzilla.mozilla.org/show_bug.cgi?id=1215786

I found other bugs, 12, 18, 20 year old, for the installer component that mention the word, ""reboot.""  A few are:
https://bugzilla.mozilla.org/show_bug.cgi?id=360897
https://bugzilla.mozilla.org/show_bug.cgi?id=138840
https://bugzilla.mozilla.org/show_bug.cgi?id=110882
https://bugzilla.mozilla.org/show_bug.cgi?id=119530
https://bugzilla.mozilla.org/show_bug.cgi?id=43792
I have another program, I forget which, which won't run because it thinks my Windows version is too old; turns out it's because I have disabled some Windows Service, I forget which.
Perhaps the installer also thinks my Windows version is old.
I am running Windows 10, 1803.


Expected results:

Install."
"dragleave event returns bad target, event.relatedTarget is not set",1609903,RESOLVED,P2,INVALID,2020-01-17 11:32:20+00:00,2020-06-14 12:11:32+00:00,"+++ This bug was initially created as a clone of Bug #1420590 +++

User Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0
Build ID: 20171024165158

Steps to reproduce:

1. download the attachment and open it in Firefox.
2. drag something into the page and then drag out.


Actual results:

When dragleave fires, the event.target is set to document (if e10s activated) or XULDocument (if e10s not activated; and accessing event.target throws an error in this case).


Expected results:

The event.target should be the .dropmask element. (in other browsers)"
Bookmark import multiplies blanks in Bookmark Text,1609969,RESOLVED,P4,INVALID,2020-01-17 16:34:03+00:00,2020-01-24 18:21:38+00:00,"Steps how to reproduce  with installation of unofficial (by wg9s) De SeaMonkey 2.53.2 (NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20191230130008  {Milestone=60.3.2 | SourceStamp=f3720549528fd4e297a4b9f285acd2fe1d0a6938} (Default Classic Theme) on German WIN7 64bit:

0. Create some bookmarks and bookmark folders with a single Blank in Names between words
1. Export Bookmarks via Menu ˋBookmarks → Edit Bookmarks → Tools → Export to HTML
   → Savebookmarks fileˊ
2. Switch to newly created User Profile, import Bookmarks vie Manu ˋBookmarks → Edit Bookmarks → Tools → Import HTML
3. Check Bookmarks in sidebar or Bookmarks Editor, you fill find names damaged by added blanks in strings. 😥
4. Open exported ""bookmarks.html"",  check the same strings they are ok ☺

Example: See Heading ""SeaMonkey DE"" in attached Screenshot

**Additional Information**:
a) Curently I can't tell whether this is SM Version related"
Seamonkey 2.53.1 grinding to a halt,1610468,RESOLVED,--,INCOMPLETE,2020-01-21 11:33:55+00:00,2021-02-07 13:49:47+00:00,"User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.1 Lightning/5.8.1

Steps to reproduce:

Mac OS X 10.14.3.  2.6 GHz Intel Core i7. 16 GN Ram 2400 MHz DDR4. MacBook Pro, 15inch 2018.  
Just been using Seamonkey as normal.
The rainbow cursor keeps coming up at just about every action, as the system grinds down to killing then restarting. This really should not happen. As I am doing this, the rainbow cursor keeps making the typing stop for several seconds, and every action I have to wait several seconds for the rainbow cursor to stop spinning. 

I had two websites up, on two tabs

https://www.bbc.co.uk/sport/football/51184842
https://www.lse.co.uk/members/watchlists/




Actual results:

Seamonkey is grinding to a halt. Cannot cope. It can't evenm cop with this website. 


Expected results:

Normal easy browsing that doesnt use up hardly any CPU."
"Release Notes: Dead Link to ""Thunderbird 60.3 release notes""",1610561,RESOLVED,P5,FIXED,2020-01-21 16:31:21+00:00,2020-01-22 12:56:33+00:00,"Link behind text ""Thunderbird 60.3 release notes"" leads to Error Message ""[There’s nothing here!](https://www.thunderbird.net/en-US/thunderbird/60.3/releasenotes/)"""
