Issue id,Duplicate id
13570245,13570248
13315133,13345188
13310672,13321192
13372483,13383983
13381178,13376468
13399507,13338174
13576846,13582053
13346977,13294082
13579939,13570023
13318475,13354065
13411684,13411409
13521576,13517668
13502634,13503183
13537904,13565815
13288309,13288450
13449351,"13449352, 13449352"
13322032,13326338
13365460,13365466
13369965,13410328
13407196,13410585
13277616,13277636
13289433,13290977
13397566,13393004
13335497,13377994
13395980,13381338
13579953,13578505
13401947,13381011
13430483,13418517
13383192,13367144
13324538,13337329
13278433,13299963
13546863,13543596
13439039,13469863
13602508,13526136
13307934,13307933
13328674,13328811
13573074,13572863
13290748,13297945
13285808,13286104
13538042,13535712
13522145,13514673
13373873,13358749
13594251,13569689
13301431,13301439
13360944,13360989
13481726,13278345
13373120,13361007
13529123,13533856
13537559,13520424
13475730,13337307
13347575,13353488
13367532,13367534
13516063,13518196
13309781,13314731
13365327,13365328
13406749,13415306
13537070,13535713
13369454,13380268
13476774,13476471
13599364,13599363
13387495,13360943
13422137,13406971
13526136,13602508
13361007,13373120
13503879,13503178
13537136,13537016
13563989,13579472
13516200,13514886
13368756,13449019
13529161,13527018
13478489,13416440
13306239,13306238
13345188,13315133
13514538,13522879
13320982,13315797
13312407,13330656
13410718,13410694
13342897,13316521
13292045,13365275
13438681,13386450
13424536,13482060
13354844,13360286
13569289,13565644
13301439,13301431
13383839,13382956
13362868,13362869
13520892,13520234
13545024,13541983
13537105,13537028
13326717,13369454
13522879,13514538
13548366,13547799
13400626,13400791
13367534,13367532
13447414,13446461
13520424,13537559
13552256,13285712
13297945,13290748
13410328,13369965
13355465,13354865
13321192,13310672
13311794,13386733
13391825,13398092
13420719,13429383
13503178,13503879
13527018,13529161
13442741,13442740
13424557,13366798
13481599,13468358
13369626,13369625
13314731,13309781
13357571,13378901
13468358,13481599
13320353,13315082
13542472,"13542471, 13542471"
13434136,13449323
13485195,13473128
13433482,13390545
13516146,13516195
13363491,13363492
13445316,13445315
13338174,13399507
13438775,13361418
13575921,13375680
13537907,13482317
13449323,13434136
13476919,13476921
13300231,13295946
13368754,13368753
13341955,13342022
13367144,13383192
13515722,13515878
13514672,13493390
13328229,13329042
13324252,13321190
13316521,13342897
13442740,13442741
13586879,13589694
13342022,13341955
13543871,13543885
13553941,13553943
13579472,13563989
13410585,13407196
13382956,13407897
13412853,13412919
13366798,13424557
13391150,13416286
13445315,13445316
13307909,13307904
13299123,13368688
13484481,13484482
13344267,13339536
13438855,13400047
13513638,13506718
13493390,13514672
13415609,13366643
13569689,13594251
13514673,13522145
13449019,13368756
13494183,13529870
13339920,13338168
13541301,13540227
13346333,13412659
13450863,13450870
13449894,13416028
13540227,13541301
13368326,13370704
13532101,13531368
13281157,13283182
13326338,13322032
13392311,13500644
13295946,13300231
13369237,13285724
13480463,13515499
13406971,13422137
13315797,13317432
13365466,13365460
13525639,13529764
13328811,13328674
13419939,13416412
13277566,13277567
13370252,13370544
13527045,13527183
13570023,13579939
13434531,13434529
13338168,13339920
13344728,13323725
13432761,13430369
13367530,13367531
13363523,13351742
13454983,13449608
13382791,13381521
13418517,13430483
13312347,13364756
13412919,13412853
13318249,13318244
13342588,13325573
13365733,13365731
13368753,13368754
13401539,13387216
13286104,13285808
13509166,13412208
13516195,13516146
13398288,13311700
13479551,13481711
13413292,13428549
13536389,13536388
13532414,13532022
13365328,13365327
13380231,13380388
13307904,13307909
13378901,13357571
13527049,13526107
13361418,13438775
13299963,13278433
13535712,13538042
13357824,13327526
13381338,13395980
13526107,13527049
13363492,"13363490, 13363493"
13578505,13579953
13434641,13448375
13387651,13573273
13438195,13438189
13392240,13468509
13500269,13505525
13368688,13299123
13296076,13297533
13515882,13506199
13552341,13551543
13549566,13556321
13599363,13599364
13360989,13360944
13482060,13424536
13309875,13315769
13380388,13380231
13337329,13324538
13537138,13537149
13556802,13557671
13486579,13485276
13352136,13355012
13346505,13346504
13318244,13318249
13547053,13547051
13329042,13328229
13449090,13449113
13390545,"13433482, 13393803"
13484482,13484481
13287805,13290159
13506199,13515882
13477332,13481784
13393004,13397566
13537016,13537069
13369625,13369626
13358749,13373873
13390806,13391479
13361755,13336581
13543527,13545437
13416377,13399626
13325445,13325444
13574453,13574509
13547324,13546747
